Event,Driver,Trip,Starttime,Endtime,Speedingtime
19305,96,171,236200,241100,4890
19306,96,171,271590,271920,320
19307,96,172,14830,16260,1440
19308,96,172,21670,23760,2090
19309,96,172,29110,32310,1880
19310,96,172,39810,42960,2740
19311,96,172,48540,86380,37850
19312,96,172,92840,128240,34840
19313,96,172,130130,195390,63160
19314,96,172,198710,221840,22150
19315,96,172,233300,241120,7100
19316,96,172,242790,252810,10030
19317,96,175,70000,70510,510
19318,96,177,14210,29200,13630
19319,96,177,37160,47350,10170
19320,96,177,48360,50760,1940
19321,96,177,53670,59000,4630
19322,96,177,65640,66080,440
19323,96,177,71060,71400,350
19324,96,177,88300,97840,9490
19325,96,177,111080,111230,140
19326,96,177,115280,138470,22250
19327,96,177,139550,156440,15180
19328,96,177,157690,161290,3220
19329,96,178,126030,130880,4860
19330,96,178,134470,134780,200
19331,96,178,136740,137630,780
19332,96,178,138870,142350,3490
19333,96,178,143530,146960,2550
19334,96,178,151700,152060,370
19335,96,178,154330,162300,7290
19336,96,178,164230,173570,8150
19337,96,178,175530,177580,2050
19338,96,178,181130,183000,1880
19339,96,178,184780,193410,8480
19340,96,178,197360,198910,1560
19341,96,178,201440,201930,500
19342,96,178,229870,231070,1200
19343,96,178,245630,245630,10
19344,96,178,249610,250710,1110
19345,96,178,268710,272520,3820
19346,96,178,273620,279670,5800
19347,96,178,283060,283420,370
19348,96,179,13510,15720,2200
19349,96,179,17080,26280,9060
19350,96,179,29640,49780,19410
19351,96,179,58690,59810,1130
19352,96,180,10810,12990,2180
19353,96,180,14570,32260,17700
19354,96,180,33850,85510,51200
19355,96,180,86720,92920,6210
19356,96,180,97190,106470,8820
19357,96,180,108050,126430,18390
19358,96,180,135700,145730,9770
19359,96,180,156380,156510,130
19360,96,180,165330,167000,1510
19361,96,180,172540,179470,6940
19362,96,180,180570,189300,8090
19363,96,180,204950,208040,3100
19364,96,180,216050,216080,40
19365,96,181,27430,29410,1850
19366,96,181,33470,33940,470
19367,96,181,42550,48900,6140
19368,96,181,52060,52390,330
19369,96,181,59450,71890,9880
19370,96,181,72900,78360,2340
19371,96,181,79680,93660,13420
19372,96,181,94690,98120,3220
19373,96,181,115450,115920,480
19374,96,181,119800,120000,200
19375,96,181,121580,121580,10
19376,96,181,123370,141220,16490
19377,96,181,143150,145570,2430
19378,96,181,146800,153200,5970
19379,96,181,154260,156710,1970
19380,96,181,159850,166890,6740
19381,96,181,168020,176040,7560
19382,96,181,177040,190070,13040
19383,96,181,191590,191820,240
19384,96,181,193200,196420,3230
19385,96,181,200130,226550,25440
19386,96,182,21270,21550,290
19387,96,182,22710,29530,6830
19388,96,182,31150,46610,15020
19389,96,182,49080,50360,1270
19390,96,182,52820,54930,2120
19391,96,183,18340,33130,13560
19392,96,184,71290,73020,830
19393,96,184,76210,89040,12840
19394,96,185,11620,34130,22210
19395,96,185,37500,38430,650
19396,96,185,58730,67530,8810
19397,96,185,69760,96580,26830
19398,96,185,97880,146240,47720
19399,96,185,147820,153460,5250
19400,96,185,155050,184140,29090
19401,96,185,186980,191360,4390
19402,96,185,192870,233450,40280
19403,96,185,236090,236160,40
19404,96,185,245550,255320,7070
19405,96,185,261560,262660,1110
19406,96,185,267910,269450,1540
19407,96,186,14690,18140,2840
19408,96,186,19190,30000,10820
19409,96,186,31590,31590,10
19410,96,186,32620,32730,120
19411,96,186,41850,47030,5070
19412,96,187,15690,78800,63110
19413,96,187,84110,84110,10
19414,96,187,85140,156630,70320
19415,96,187,157720,183550,25840
19416,96,187,192620,196410,3800
19417,96,187,199860,201630,1780
19418,96,187,216730,221630,4910
19419,96,187,227150,229980,2830
19420,96,189,33040,43560,9560
19421,96,189,44870,52330,5730
19422,96,189,54200,56290,2100
19423,96,189,58160,58700,530
19424,96,189,64250,73620,9380
19425,96,189,76340,92410,15890
19426,96,189,94630,105300,10680
19427,96,189,107740,112120,4390
19428,96,189,113160,113720,570
19429,96,189,115460,119760,4310
19430,96,189,125330,127280,1320
19431,96,191,31950,67100,35160
19432,96,191,75270,76830,1570
19433,96,191,78840,83620,3810
19434,96,191,96820,117250,20440
19435,96,193,17500,34990,17500
19436,96,193,38610,59240,20640
19437,96,195,54590,59330,3490
19438,96,195,60760,63890,2450
19439,96,195,65280,69130,3860
19440,96,195,70730,80210,9470
19441,96,195,81280,82480,1210
19442,96,195,83880,103590,18820
19443,96,196,17600,19020,1430
19444,96,196,20850,21020,110
19445,96,196,22080,22920,850
19446,96,196,26850,39410,11790
19447,96,196,41310,43380,2080
19448,96,196,56800,61400,4350
19449,96,196,65390,69410,3450
19450,96,196,76050,107080,29310
19451,96,198,12930,60130,46800
19452,96,198,66780,72420,4820
19453,96,198,89290,102850,12570
19454,96,198,103940,103940,10
19455,96,199,13900,17580,2150
19456,96,199,20550,21890,1350
19457,96,199,23690,27690,2210
19458,96,199,29170,29360,120
19459,96,199,39640,41990,2110
19460,98,1,84020,84940,920
19461,98,1,187200,188040,850
19462,98,1,189850,189910,70
19463,98,1,217920,217940,30
19464,98,16,140800,141990,1200
19465,98,61,139200,139290,50
19466,98,91,14050,14250,200
19467,98,91,15900,16250,320
19468,98,97,16120,16460,350
19469,98,98,147430,148180,760
19470,98,101,38680,39440,770
19471,98,119,36280,36890,620
19472,98,160,619300,620090,790
19473,98,160,632540,633010,470
19474,98,168,99010,100280,490
19475,98,168,102620,108900,3380
19476,98,168,110000,111000,590
19477,98,168,112160,116870,1510
19478,98,168,118660,120150,1440
19479,98,168,121520,129310,2470
19480,98,168,130380,131820,1450
19481,98,168,133450,135110,820
19482,98,168,136720,138160,1400
19483,98,168,139690,140290,570
19484,98,168,142080,142540,410
19485,98,168,144230,146110,1500
19486,98,168,147200,149740,910
19487,98,168,150890,152120,1170
19488,98,168,153290,154220,910
19489,98,168,155650,156040,390
19490,99,45,33600,33900,310
19491,99,56,129170,130720,1560
19492,99,101,55730,56580,860
19493,100,2,46490,50300,3820
19494,100,2,71700,72450,650
19495,100,2,73480,78810,5330
19496,100,3,42420,51680,9270
19497,100,3,76110,76730,630
19498,100,3,82810,82900,30
19499,100,3,86080,94220,6860
19500,100,3,97560,97960,410
19501,100,3,99280,99320,30
19502,100,3,106630,108760,2090
19503,100,3,121460,125680,4220
19504,100,3,154470,157970,3510
19505,100,4,213530,213840,290
19506,100,4,216420,217320,880
19507,100,6,83610,89700,4860
19508,100,6,100160,100620,340
19509,100,6,102090,104450,2270
19510,100,7,213820,218470,4650
19511,100,7,225120,225270,160
19512,100,7,227670,228100,260
19513,100,7,230460,233360,2910
