Driver,Trip,Tailgating,Total,Ratio
11,45,2460,42130,0.05839069546641347
11,46,12100,43940,0.2753755120619026
11,48,11950,37050,0.3225371120107962
11,72,4840,35440,0.136568848758465
11,77,7690,99010,0.07766892233107765
11,79,3330,34690,0.09599308157970597
11,97,13150,33730,0.38986065816780313
11,101,23070,35750,0.6453146853146853
11,110,5280,40950,0.12893772893772895
11,111,15770,34950,0.45121602288984264
11,117,5820,49220,0.11824461600975213
11,119,1400,42210,0.03316749585406302
11,124,1240,220250,0.005629965947786606
12,1,10680,193310,0.055248047178107704
12,37,6240,126190,0.04944924320469133
12,38,13560,119209,0.11374884657327407
12,58,13380,41500,0.3224096385542169
12,110,4800,13310,0.3606311044327573
12,123,16950,68960,0.24579466357308585
12,155,51730,193329,0.26757357885480787
13,1,14960,174880,0.08554437328453797
13,9,4720,27560,0.17126269956458634
13,33,42360,494189,0.08571602015419172
13,38,9190,215909,0.04256403130934187
13,54,19710,680980,0.028943581309289552
13,63,14760,311789,0.04733955547002791
13,127,6750,121130,0.055725253859489794
13,134,5440,109480,0.049689440993788817
13,136,2120,125849,0.016845450933651175
13,143,6000,177390,0.03382377811601556
14,1,22900,172660,0.13263060349820457
14,6,3920,29909,0.13105984620528252
14,8,7960,51940,0.15325375433192145
14,53,2850,67430,0.04226605368530328
14,68,10620,31139,0.3410404624277457
14,75,1560,75220,0.020739165115660728
14,121,7300,37080,0.19687162891046386
14,161,3900,476479,0.00818502350570853
14,162,11980,644429,0.01859007184643794
14,182,35970,200040,0.17981403719256148
14,189,27120,498680,0.05438357263174781
14,190,75110,419510,0.17904221591857164
14,198,17070,86240,0.1979359925788497
14,200,9240,66550,0.13884297520661157
14,205,86310,131580,0.6559507523939807
15,4,56430,343589,0.16423644459966824
15,89,1470,34980,0.04202401372212693
15,136,8910,19090,0.4667365112624411
15,139,11820,17180,0.6880093131548312
15,176,2050,218630,0.009376572291085393
16,2,9840,81520,0.12070657507360157
16,3,790,8890,0.08886389201349831
16,13,640,8120,0.07881773399014778
16,21,14620,123530,0.11835181737229823
16,32,9430,37040,0.25458963282937364
