Driver,Trip,Speeding,Total,Ratio
18,255,78710,380370,0.20693009438178617
18,267,1020,242880,0.004199604743083003
18,269,57090,384179,0.14860221771044824
18,270,630,64750,0.00972972972972973
19,8,7980,120660,0.0661362506215813
19,10,450,68370,0.006581834137779728
19,12,9420,20210,0.4661058881741712
19,15,12480,707730,0.0176338434148616
19,16,102560,516829,0.198440493005437
19,21,245140,442400,0.5541139240506329
19,22,109170,146890,0.743209204166383
19,24,140170,562940,0.2489963406402103
19,26,3440,144450,0.023814468674281757
19,28,3520,442270,0.007958939109593687
19,45,480,578520,0.0008297033810412776
19,51,250,101740,0.00245724395517987
19,53,42480,98810,0.4299160004048173
19,62,1040,226350,0.004594654296443561
19,63,700,417510,0.001676606548346147
19,71,24780,530210,0.04673619886460082
19,72,4300,310300,0.013857557202707057
19,75,760,55270,0.013750678487425365
19,76,550,459670,0.001196510540170122
19,83,277640,705789,0.3933747998696497
19,85,5740,190440,0.030140726738080235
19,127,11170,107959,0.10346424601704336
19,130,2180,127470,0.017102063230564055
19,155,54270,1108600,0.04895363521558722
19,157,800,121100,0.006606110652353427
19,158,7100,636480,0.011155103066867773
19,160,1970,203500,0.00968058968058968
19,161,9720,595979,0.016309272123225613
20,4,12480,14419,0.8654646324549238
20,18,4460,41650,0.1070828331332533
20,19,4030,156240,0.025793650793650792
20,20,34470,135480,0.2544286979627989
20,21,16110,152920,0.1053492021972273
20,22,59390,134460,0.44169269671277706
20,23,6460,152230,0.042435787952440386
20,29,3120,29239,0.10670314637482901
20,33,3750,42750,0.08771929824561403
20,34,11360,26910,0.4221479004087699
20,39,2060,16880,0.12203791469194313
20,40,2670,29530,0.09041652556721978
20,43,400,12670,0.03157063930544594
20,45,880,17330,0.050778995960761686
20,48,5640,30710,0.1836535330511234
20,67,8060,67340,0.11969111969111969
20,70,9440,46500,0.20301075268817204
20,73,1530,26370,0.05802047781569966
20,78,2210,38300,0.0577023498694517
20,79,7050,79450,0.08873505349276274
20,88,2580,27750,0.09297297297297297
20,91,420,13350,0.03146067415730337
20,95,8040,29760,0.2701612903225806
20,99,180,43949,0.0040955631399317415
20,100,2840,29560,0.09607577807848443
20,104,17790,132969,0.13378957659622473
20,105,10520,75690,0.13898797727572992
20,106,5480,40840,0.13418217433888344
20,107,3920,34710,0.11293575338519159
20,109,1470,136900,0.010737764791818843
20,111,12520,53379,0.23454477332334212
20,112,1040,37140,0.028002154011847066
20,113,15950,115600,0.1379757785467128
20,115,1330,91450,0.014543466375068344
20,118,33890,130750,0.25919694072657745
20,121,32140,138560,0.23195727482678985
20,125,5040,27730,0.18175261449693472
20,136,530,116470,0.004550528032969864
20,140,27730,96580,0.2871194864361151
20,154,16760,26930,0.6223542517638322
20,157,1550,13210,0.11733535200605602
20,164,270,31450,0.008585055643879173
20,167,1940,34290,0.05657626130067075
20,169,7810,109680,0.0712071480671043
20,173,45030,112950,0.39867197875166005
20,174,1500,30800,0.048701298701298704
