Driver,Trip,Distance,SecInMotion
4,99,4432.123,144.4
4,99,13866.92,903.9
4,99,3309.205,98.5
4,99,6172.119,191.7
4,99,34.70528,1.4
4,99,5361.639,165.5
4,99,12964.87,397
4,99,4167.23,133.2
4,99,4087.707,115.6
4,99,1762.596,53.3
4,121,5942.19,180.3
4,121,8007.631,226.7
4,121,1823.95,59.6
4,121,15921.92,452.4
4,122,12496.02,393.7
4,122,8168.45,244
4,122,1763.732,59
4,124,4699.507,129.8
4,124,10096.9,286
4,124,3529.094,93.7
4,124,19469.69,513.2
4,124,8524.364,253.4
4,124,19037.26,615.6
4,124,945.1723,29.9
4,124,5458.052,154.5
4,124,799.5095,26.2
4,124,1414.495,40.8
4,124,3635.563,113.2
4,125,5500.192,191.2
4,125,6213.833,194.8
4,125,238.835,7.7
4,125,4419.296,139.3
4,125,13834.86,450.8
4,125,3278.482,92.2
4,125,5748.315,170.5
4,125,26814.58,778.5
4,125,1803.16,56.9
4,126,5946.39,192.9
4,126,2411.915,77.4
4,126,5557.345,154
4,126,1858.493,61.1
4,126,22946.76,622.3
4,126,8529.745,265.5
4,126,4804.667,183.2
4,126,9694.997,286.5
4,126,1661.366,44.8
4,126,2492.352,66.5
4,126,75.20973,2.1
4,126,5636.512,163.8
4,126,730.9254,23
4,126,1495.515,44.5
4,126,3133.143,84.9
4,126,129.2317,5.4
4,129,5519.341,189.2
4,129,6249.955,191.2
4,129,546.4245,15.9
4,129,4373.562,130.4
4,129,13845.47,484.2
4,129,3272.881,89
4,129,1477.584,41.6
4,129,4601.373,150.8
4,129,18400.22,535.8
4,129,8317.571,261.2
4,129,1171.925,35
4,129,505.2706,20.4
4,140,16822.3,498.6
4,140,7848.023,235.2
4,140,4397.54,127.7
4,140,9716.941,283.3
4,140,15214.14,479.3
4,140,3463.727,114.8
4,140,253.7528,8.8
4,140,14.74,0.5
4,140,2805.522,99.4
4,140,1122.484,48.2
4,140,1629.139,50.1
4,140,517.4445,19.2
4,140,10.23139,0.3
4,140,445.6451,13.2
4,140,8482.171,254.4
4,140,3102.626,96.2
4,140,22.08,1.4
4,143,3989.12,145.2
4,143,5.307501,0.2
4,143,5.499445,0.2
4,143,2.776667,0.1
4,143,8.232224,0.3
4,143,11.06389,0.4
4,143,703.5634,24.9
4,143,6265.821,197.6
4,143,107.7595,3.6
4,143,4535.919,140.8
4,143,13785.54,451.4
4,143,3322.185,108
4,143,1333.817,41.6
4,143,4454.337,136.8
4,143,26807.75,753
4,143,1194.137,33.5
4,143,506.2398,15.1
4,148,5946.367,174.6
4,148,2399.103,72.8
4,148,1954.537,58
4,148,3544.894,103.8
4,148,1963.387,56
4,148,22957.29,637.1
4,148,3354.568,108.9
4,148,4592.169,137.1
4,148,16444.5,555.2
4,148,2533.55,76.9
4,148,34.96445,1.1
4,148,72.78973,2.2
4,148,2495.383,72.1
4,148,2335.474,69.5
4,148,784.8054,27
4,148,9.007223,0.3
4,148,1375.059,40.5
4,148,3557.606,105.5
4,151,5564.409,325.1
4,151,6210.938,192.7
4,151,5065.288,157.1
4,151,13792.51,782.5
4,151,3354.655,112.3
4,151,6218.085,183.3
4,151,18404.18,555.2
4,151,8159.655,251.2
4,151,1156.474,39.8
4,151,418.2359,17.1
4,158,11599.3,351.5
4,158,76.28251,2.9
4,160,5669.633,169.4
4,160,5208.448,157.7
4,160,260.9775,12
4,163,9316.744,294.9
4,163,15127.73,462
4,163,4333.451,134.2
4,163,9791.884,300.6
4,163,10247.97,303.6
4,163,10246.23,488.9
