Driver,Trip,TripTime,Distance
3,307,15090,4867.586
4,17,79630,24749.85
4,17,69260,22525.57
4,19,71880,23872.9
4,19,77070,25162.45
4,42,9290,2865.419
4,43,10650,2957.454
4,50,10460,2960.234
4,53,9210,2862.805
4,56,10350,2956.739
4,58,9940,2860.291
4,60,11390,2960.18
4,61,9280,2863.348
4,62,10480,2959.77
4,64,10000,2863.201
4,65,11120,2959.365
4,80,8740,2859.921
4,82,10100,2956.767
4,84,9440,2864.061
4,85,10250,2957.481
4,89,8670,2862.119
4,90,9720,2955.199
4,93,9870,2864.02
4,102,9850,2860.116
4,104,9960,2955.043
4,105,26420,8245.201
4,106,36870,11459.67
4,107,9850,2865.155
4,108,9570,2955.179
4,109,27850,8237.525
4,112,25620,8069.387
4,115,9980,2867.552
4,117,10630,2956.989
4,118,10390,2867.222
4,120,10120,2963.583
4,124,9550,2866.773
4,125,9280,2953.411
4,126,9400,2863.677
4,128,9600,2958.409
4,136,9460,2979.224
4,138,11120,3083.401
4,140,9510,2982.112
4,141,10400,3081.827
4,143,9670,2986.257
4,145,9070,2760.786
4,145,70,16.04688
4,150,9940,2863.776
4,151,18380,4495.1
4,152,26230,8091.265
4,152,9930,2869.324
4,153,9860,2964.894
4,155,9750,2867.167
4,156,10230,2962.649
4,157,9230,2868.792
4,160,11430,2967.457
4,164,8370,2869.92
4,165,11850,2966.457
4,166,34670,11543.23
4,167,35130,11473.43
4,174,9440,2871.94
4,174,10310,2962.668
4,176,10310,2865.622
4,177,10530,2963.534
4,178,10710,2957.319
4,179,9140,2864.765
4,183,8830,2755.393
4,183,60,14.64404
4,184,4260,664.2412
4,184,2410,517.4712
4,184,60,15.65137
4,184,81390,24763.32
4,184,163180,54058.5
4,184,43220,12094.41
4,185,37070,11697.3
4,185,82720,26192.71
4,185,28840,9462.219
4,185,9540,2705.602
4,190,9230,2866.253
4,191,8550,2750.956
4,191,70,16.00195
4,192,38000,8257.571
4,194,11310,3514.192
4,194,14220,3657.387
4,196,9540,2864.856
4,197,10100,2958.2
4,200,9480,2864.206
4,201,10240,2960.357
4,229,28050,8253.763
4,230,28360,8089.047
4,231,9300,2876.211
4,232,9910,2962.626
4,233,9180,2865.049
4,234,9380,2958.008
4,235,9690,2871.356
4,236,10310,2961.461
4,237,8550,2865.987
4,241,8830,2866.946
4,242,71960,2974.724
4,243,8310,2867.049
4,244,10120,2961.388
4,249,9360,2867.111
4,250,11820,3884.642
4,250,18780,3729.612
4,251,63990,20244.17
4,252,9200,2850.611
4,253,10230,2960.981
4,254,9260,2865.444
4,255,10720,2958.683
4,256,11470,2872.882
4,257,14440,3665.394
4,260,9390,2872.709
4,262,9400,2964.012
4,263,9490,2863.599
4,264,15610,4255.492
4,264,16460,4874.888
4,266,9970,2868.636
4,267,10490,2965.33
4,271,4180,1153.061
4,282,10480,2870.037
4,285,8540,2870.601
4,286,10000,2957.343
4,291,8950,2864.996
4,292,10250,2963.018
4,293,9200,2867.563
4,294,9190,2958.512
4,298,9130,2866.114
4,299,10520,2962.362
4,300,8680,2873.777
4,304,18060,4231.758
4,305,9120,2865.105
4,306,10360,2958.412
4,306,9140,2868.868
4,308,10600,2965.378
4,313,9460,2761.476
4,313,70,15.35742
4,315,40980,13214.71
4,316,39210,13039.37
4,319,11250,2873.024
4,322,9680,2862.116
4,323,14120,3654.591
4,324,9820,2854.678
4,325,10020,2958.722
4,333,9200,2865.734
4,334,9770,2765.759
4,334,90,15.82227
4,335,10060,2864.9
4,336,10060,2960.163
4,337,10280,2872.964
4,337,15820,4259.173
4,337,16540,4886.957
4,341,10560,2873.651
4,341,10870,2966.226
4,347,8950,2889.767
4,349,9500,2957.906
4,350,9430,2866.008
4,351,9960,2959.229
4,352,9230,2869.943
4,353,9340,2961.677
4,354,9530,2890.724
4,355,13500,3663.247
4,356,8420,2862.877
4,359,13190,4239.125
4,359,14740,4866.359
4,362,11380,2871.925
4,364,10110,2960.017
4,367,8280,2861.813
4,369,9080,2871.196
4,370,9860,2964.233
4,371,8290,2863.884
4,372,17820,2758.229
4,372,140,16.50439
4,379,9830,2963.424
4,380,9680,2873.776
4,381,10460,2961.953
